EL CERRILLO VISTA HERMOSA - 44 - TERRA,,,,,,,,,,,,,,,,,,,
Empresa,No. Contrato,,folio,,Solicitud Atendida,,fechaRealizado,,CALLE,Entre Calle 1,Calle 2,colonia,delegacion,GEOLOCALIZACION,Tipo,profundidad,largo,ancho,m2total
TERRA,44,,440106,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.322038, -99.544067",SUPERFICIAL,0.07,1.30,1.30,1.69
TERRA,44,,440107,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321856, -99.544487",SUPERFICIAL,0.07,2.25,1.45,3.26
TERRA,44,,440108,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321847, -99.544495",SUPERFICIAL,0.07,1.96,1.82,3.57
TERRA,44,,440109,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321861, -99.544508",SUPERFICIAL,0.07,2.00,1.00,2.00
TERRA,44,,440110,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321850, -99.544526",SUPERFICIAL,0.07,2.45,1.25,3.06
TERRA,44,,440111,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321817, -99.544570",SUPERFICIAL,0.07,2.45,3.20,7.84
TERRA,44,,440112,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321816, -99.544579",SUPERFICIAL,0.07,2.45,3.20,7.84
TERRA,44,,440113,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321809, -99.544593",SUPERFICIAL,0.07,2.45,3.20,7.84
TERRA,44,,440115,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321805, -99.544600",SUPERFICIAL,0.07,2.45,3.20,7.84
TERRA,44,,440114,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321698, -99.544865",SUPERFICIAL,0.07,5.24,1.87,9.80
TERRA,44,,440116,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321698, -99.544865",SUPERFICIAL,0.07,3.50,1.50,5.25
TERRA,44,,440117,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321704, -99.544807",SUPERFICIAL,0.07,2.62,1.10,2.88
TERRA,44,,440118,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321700, -99.544856",SUPERFICIAL,0.07,3.20,2.84,9.09
TERRA,44,,440119,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321651, -99.544989",SUPERFICIAL,0.07,3.20,2.83,9.06
TERRA,44,,440120,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321585, -99.545136",SUPERFICIAL,0.07,2.83,1.55,4.39
TERRA,44,,440121,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321534, -99.545289",SUPERFICIAL,0.07,3.84,2.63,10.10
TERRA,44,,440122,,,,7/5/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.319103, -99.538707",SUPERFICIAL,0.07,3.05,0.46,1.40
TERRA,44,,440123,,,,7/5/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.319123, -99.538387",SUPERFICIAL,0.07,3.50,1.50,5.25
TERRA,44,,440124,,,,8/5/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.319140, -99.538372",SUPERFICIAL,0.07,1.65,1.15,1.90
TERRA,44,,440125,,,,8/5/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.319195, -99.538045",SUPERFICIAL,0.07,2.65,2.37,6.28
TERRA,44,,440126,,,,8/5/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.319199, -99.538034",SUPERFICIAL,0.07,2.65,2.37,6.28
,,,,8,,,,,,,,,,,,,,,
TERRA,44,,440127,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,REFORMA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.322640, -99.544002",SUPERFICIAL,0.07,3.06,1.90,5.81
TERRA,44,,440128,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,REFORMA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.322585, -99.544133",SUPERFICIAL,0.07,2.16,2.01,4.34
TERRA,44,,440129,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.322702, -99.544053",SUPERFICIAL,0.07,1.86,1.71,3.18
TERRA,44,,440130,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.322712, -99.544058",SUPERFICIAL,0.07,2.25,0.64,1.44
TERRA,44,,440131,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.321847, -99.544495",SUPERFICIAL,0.07,1.87,1.72,3.22
TERRA,44,,440132,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.322933, -99.544158",SUPERFICIAL,0.07,4.00,1.37,5.48
TERRA,44,,440133,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.322931,-99.544177",SUPERFICIAL,0.07,2.11,1.25,2.64
TERRA,44,,440134,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.322993, -99.544188",SUPERFICIAL,0.07,1.77,1.00,1.77
TERRA,44,,440135,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.322930, -99.544195",SUPERFICIAL,0.07,1.73,0.96,1.66
TERRA,44,,440136,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323026,-99.544203",SUPERFICIAL,0.07,3.30,1.87,6.17
TERRA,44,,440137,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323052, -99.544217",SUPERFICIAL,0.07,3.30,1.87,6.17
TERRA,44,,440138,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323168, -99.544274",SUPERFICIAL,0.07,2.81,1.92,5.40
TERRA,44,,440139,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323061,-99.544249",SUPERFICIAL,0.07,2.50,1.72,4.30
TERRA,44,,440140,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323083,-99.544238",SUPERFICIAL,0.07,2.05,1.76,3.61
TERRA,44,,440141,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323104, -99.544240",SUPERFICIAL,0.07,2.89,2.20,6.36
TERRA,44,,440142,,,,11/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323193, -99.544286",PROFUNDO,0.10,3.60,1.60,5.76
TERRA,44,,440143,,,,14/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323147, -99.544255",SUPERFICIAL,0.07,3.60,1.70,6.12
TERRA,44,,440144,,,,14/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323165, -99.544270",SUPERFICIAL,0.07,3.10,2.12,6.57
TERRA,44,,440145,,,,14/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323177, -99.544270",SUPERFICIAL,0.07,2.40,2.37,5.69
TERRA,44,,440146,,,,14/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323164, -99.544282",SUPERFICIAL,0.07,2.40,2.37,5.69
TERRA,44,,440147,,,,14/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323153, -99.544325",SUPERFICIAL,0.07,3.50,2.30,8.05
TERRA,44,,440148,,,,14/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323398, -99.544413",SUPERFICIAL,0.07,3.93,2.26,8.88
TERRA,44,,440149,,,,14/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323393, -99.544456",SUPERFICIAL,0.07,4.25,1.44,6.12
TERRA,44,,440150,,,,14/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323412, -99.544461",SUPERFICIAL,0.07,1.77,0.77,1.36
TERRA,44,,440151,,,,14/5/2026,,MIGUEL HIDALGO,REFORMA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323627, -99.544566",SUPERFICIAL,0.07,3.40,1.57,5.34
TERRA,44,,440152,,,,14/5/2026,,MIGUEL HIDALGO,ISIDRO FABELA,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.323673, -99.544475",SUPERFICIAL,0.07,1.97,1.23,2.42
TERRA,44,,440153,,,,14/5/2026,,MIGUEL HIDALGO,ISIDRO FABELA,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324326, -99.544874",SUPERFICIAL,0.07,1.42,1.38,1.96
TERRA,44,,440154,,,,14/5/2026,,MIGUEL HIDALGO,ISIDRO FABELA,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324352, -99.544885",SUPERFICIAL,0.07,1.10,1.10,1.21
TERRA,44,,440155,,,,14/5/2026,,MIGUEL HIDALGO,ISIDRO FABELA,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324419, -99.544913",SUPERFICIAL,0.07,1.30,0.90,1.17
TERRA,44,,440156,,,,15/5/2026,,DEPORTIVA,LERDO,MIGUEL HIDALGO,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324320, -99.545249",SUPERFICIAL,0.07,1.32,1.15,1.52
TERRA,44,,440157,,,,15/5/2026,,DEPORTIVA,LERDO,MIGUEL HIDALGO,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324327, -99.545233",SUPERFICIAL,0.07,0.67,0.67,0.45
TERRA,44,,440158,,,,15/5/2026,,DEPORTIVA,LERDO,MIGUEL HIDALGO,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324342, -99.545201",SUPERFICIAL,0.07,1.00,0.85,0.85
TERRA,44,,440159,,,,15/5/2026,,DEPORTIVA,LERDO,MIGUEL HIDALGO,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324364, -99.545161",SUPERFICIAL,0.07,0.70,0.70,0.49
TERRA,44,,440160,,,,15/5/2026,,DEPORTIVA,LERDO,MIGUEL HIDALGO,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324385, -99.545114",SUPERFICIAL,0.07,0.75,0.62,0.47
TERRA,44,,440161,,,,15/5/2026,,DEPORTIVA,LERDO,MIGUEL HIDALGO,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324391, -99.545097",SUPERFICIAL,0.07,0.87,0.65,0.57
TERRA,44,,440162,,,,15/5/2026,,DEPORTIVA,LERDO,MIGUEL HIDALGO,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324404, -99.545073",SUPERFICIAL,0.07,1.87,1.00,1.87
TERRA,44,,440163,,,,15/5/2026,,DEPORTIVA,LERDO,MIGUEL HIDALGO,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324470, -99.544940",SUPERFICIAL,0.07,1.23,1.10,1.35
TERRA,44,,440164,,,,15/5/2026,,DEPORTIVA,LERDO,MIGUEL HIDALGO,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324486, -99.544952",SUPERFICIAL,0.07,2.48,0.62,1.54
TERRA,44,,440165,,,,15/5/2026,,DEPORTIVA,MIGUEL HIDALGO,CONSTITUCIÓN,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324797, -99.544362",SUPERFICIAL,0.07,1.12,0.92,1.03
TERRA,44,,440166,,,,15/5/2026,,DEPORTIVA,MIGUEL HIDALGO,CONSTITUCIÓN,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324965, -99.543962",SUPERFICIAL,0.07,1.54,1.15,1.77
TERRA,44,,440167,,,,15/5/2026,,DEPORTIVA,MIGUEL HIDALGO,CONSTITUCIÓN,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324971, -99.543945",SUPERFICIAL,0.07,1.63,1.54,2.51
TERRA,44,,440168,,,,15/5/2026,,DEPORTIVA,MIGUEL HIDALGO,CONSTITUCIÓN,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.324992, -99.543900",SUPERFICIAL,0.07,1.78,1.55,2.76
TERRA,44,,440169,,,,15/5/2026,,DEPORTIVA,MIGUEL HIDALGO,CONSTITUCIÓN,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.325006, -99.543881",SUPERFICIAL,0.07,2.00,1.16,2.32
TERRA,44,,440170,,,,15/5/2026,,DEPORTIVA,MIGUEL HIDALGO,CONSTITUCIÓN,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.325138, -99.543613",SUPERFICIAL,0.07,1.75,1.70,2.98
TERRA,44,,440172,,,,15/5/2026,,CONSTITUCIÓN,VICENTE GUERRERO,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.325179, -99.543568",SUPERFICIAL,0.07,3.30,1.50,4.95
TERRA,44,,440173,,,,15/5/2026,,CONSTITUCIÓN,VICENTE GUERRERO,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.325156, -99.543528",SUPERFICIAL,0.07,3.55,0.94,3.34
TERRA,44,,440176,,,,15/5/2026,,CONSTITUCIÓN,VICENTE GUERRERO,ISIDRO FABELA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.325218, -99.543549",SUPERFICIAL,0.07,1.50,0.80,1.20
