EL CERRILLO VISTA HERMOSA - 44 - TERRA,,,,,,,,,,,,,,,,,,,
Empresa,No. Contrato,,folio,,Solicitud Atendida,,fechaRealizado,,CALLE,Entre Calle 1,Calle 2,colonia,delegacion,GEOLOCALIZACION,Tipo,profundidad,largo,ancho,m2total
TERRA,44,,440027,,,,6/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321003, -99.545190",PROFUNDO,0.10,3.63,2.80,10.16
TERRA,44,,440028,,,,6/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321003, -99.545190",PROFUNDO,0.10,2.85,2.10,5.99
TERRA,45,,440029,,,,6/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321003, -99.545190",PROFUNDO,0.10,2.85,2.10,5.99
TERRA,45,,440030,,,,6/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321003, -99.545190",PROFUNDO,0.10,1.70,1.20,2.04
TERRA,44,,440031,,,,8/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321240, -99.545287",PROFUNDO,0.10,2.80,2.63,7.36
TERRA,44,,440032,,,,8/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321240, -99.545287",PROFUNDO,0.10,1.67,1.05,1.75
TERRA,44,,440033,,,,8/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321259, -99.545306",PROFUNDO,0.10,2.40,1.50,3.60
TERRA,44,,440034,,,,8/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321242, -99.545306",PROFUNDO,0.10,3.80,2.30,8.74
TERRA,44,,440035,,,,8/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321239, -99.545321",PROFUNDO,0.10,3.40,2.48,8.43
TERRA,44,,440036,,,,8/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321240, -99.545287",PROFUNDO,0.10,2.67,0.97,2.59
