UNIVERSIDAD - 07 - DOMAJA,,,,,,,,,,,,,,,,,,,
Empresa,No. Contrato,,folio,OBSERVACIONES,Solicitud Atendida,,fechaRealizado,,calle,Entre Calle 1,Calle 2,colonia,delegacion,GEOLOCALIZACION,Tipo,profundidad,largo,ancho,m2total
DOMAJA ,07,,070020,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278241, -99.651109",PROFUNDO,0.10,1.60,3.80,6.08
DOMAJA ,07,,070021,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278241, -99.651109",PROFUNDO,0.10,2.51,2.03,5.10
DOMAJA ,07,,070022,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278173, -99.651007",PROFUNDO,0.10,1.48,2.70,4.00
DOMAJA ,07,,070023,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278088, -99.651046",PROFUNDO,0.10,1.75,3.09,5.41
DOMAJA ,07,,070024,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278078, -99.651034",PROFUNDO,0.10,1.70,3.17,5.39
DOMAJA ,07,,070025,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278100, -99.650979",PROFUNDO,0.10,2.19,2.70,5.91
DOMAJA ,07,,070026,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278025, -99650936",PROFUNDO,0.10,1.13,1.46,1.65
DOMAJA ,07,,070027,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.277980, -99.650930",PROFUNDO,0.10,2.23,1.87,4.17
DOMAJA ,07,,070028,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.277954, -99.650915",PROFUNDO,0.10,1.13,1.53,1.73
DOMAJA ,07,,070029,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.277948, -99.650917",PROFUNDO,0.10,1.13,1.20,1.36
